"﻿""# =========================================================================""",,,,,,,,,,,
# TARIFARIO GENERAL DE RUTAS LOGISTICAS (RESUMEN MATRICIAL) - 18/08/2026 11:07,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,LIGEROS,MEDIANO,PESADO,BUSES,LOWBOY,,,
Chofer (Rodando),LAGOS DE MORENO,CMV TLANEPANTA,407,MEDIANO,20,0,1,1,1,8140,8140
Chofer (Rodando),LAGOS DE MORENO,CMV TLANEPANTA,407,PESADO,25,0,1,1,1,10175,10175
Chofer (Rodando),LAGOS DE MORENO,CMV TLANEPANTA,407,BUSES,28,0,1,1,1,11396,11396
Chofer (Rodando),LAGOS DE MORENO,CMV TLANEPANTA,407,LOWBOY,80,0,1,1,1,32560,32560
Chofer (Rodando),LAGOS DE MORENO,COAHUILA (TORREON),620,LIGEROS,18,0,1,1,1,11160,11160
Chofer (Rodando),LAGOS DE MORENO,COAHUILA (TORREON),620,MEDIANO,20,0,1,1,1,12400,12400
Chofer (Rodando),LAGOS DE MORENO,COAHUILA (TORREON),620,PESADO,25,0,1,1,1,15500,15500
Chofer (Rodando),LAGOS DE MORENO,COAHUILA (TORREON),620,BUSES,28,0,1,1,1,17360,17360
Chofer (Rodando),LAGOS DE MORENO,COAHUILA (TORREON),620,LOWBOY,80,0,1,1,1,49600,49600
Chofer (Rodando),LAGOS DE MORENO,COLIMA,468,LIGEROS,18,0,1,1,1,8424,8424
Chofer (Rodando),LAGOS DE MORENO,COLIMA,468,MEDIANO,20,0,1,1,1,9360,9360
Chofer (Rodando),LAGOS DE MORENO,COLIMA,468,PESADO,25,0,1,1,1,11700,11700
Chofer (Rodando),LAGOS DE MORENO,COLIMA,468,BUSES,28,0,1,1,1,13104,13104
Chofer (Rodando),LAGOS DE MORENO,COLIMA,468,LOWBOY,80,0,1,1,1,37440,37440
Chofer (Rodando),LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,LIGEROS,18,0,1,1,1,7776,7776
Chofer (Rodando),LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,MEDIANO,20,0,1,1,1,8640,8640
Chofer (Rodando),LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,PESADO,25,0,1,1,1,10800,10800
