"﻿""# =========================================================================""",,,,,,,,,,,
# TARIFARIO GENERAL DE RUTAS LOGISTICAS (RESUMEN MATRICIAL) - 18/08/2026 11:07,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,LIGEROS,MEDIANO,PESADO,BUSES,LOWBOY,,,
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,PESADO,25,0,13,13,0.76,3800,49400
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,PESADO,25,0,14,14,0.74,3700,51800
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,PESADO,25,0,15,15,0.72,3600,54000
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,1,1,1,5600,5600
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,2,2,0.98,5488,10976
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,3,3,0.96,5376,16128
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,4,4,0.94,5264,21056
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,5,5,0.92,5152,25760
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,6,6,0.9,5040,30240
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,7,7,0.88,4928,34496
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,8,8,0.86,4816,38528
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,9,9,0.84,4704,42336
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,10,10,0.82,4592,45920
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,11,11,0.8,4480,49280
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,12,12,0.78,4368,52416
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,13,13,0.76,4256,55328
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,14,14,0.74,4144,58016
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,15,15,0.72,4032,60480
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,1,1,1,16000,16000
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,2,2,0.98,15680,31360
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,3,3,0.96,15360,46080
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,4,4,0.94,15040,60160
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,5,5,0.92,14720,73600
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,6,6,0.9,14400,86400
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,7,7,0.88,14080,98560
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,8,8,0.86,13760,110080
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,9,9,0.84,13440,120960
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,10,10,0.82,13120,131200
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,11,11,0.8,12800,140800
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,12,12,0.78,12480,149760
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,13,13,0.76,12160,158080
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,14,14,0.74,11840,165760
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,15,15,0.72,11520,172800
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,1,1,1,18972,18972
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,2,2,0.98,18592.56,37185.12
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,3,3,0.96,18213.12,54639.36
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,4,4,0.94,17833.68,71334.72
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,5,5,0.92,17454.24,87271.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,6,6,0.9,17074.8,102448.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,7,7,0.88,16695.36,116867.52
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,8,8,0.86,16315.92,130527.36
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,9,9,0.84,15936.48,143428.32
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,10,10,0.82,15557.04,155570.4
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,11,11,0.8,15177.6,166953.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,12,12,0.78,14798.16,177577.92
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,13,13,0.76,14418.72,187443.36
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,14,14,0.74,14039.28,196549.92
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,15,15,0.72,13659.84,204897.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,1,1,1,21080,21080
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,2,2,0.98,20658.4,41316.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,3,3,0.96,20236.8,60710.4
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,4,4,0.94,19815.2,79260.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,5,5,0.92,19393.6,96968
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,6,6,0.9,18972,113832
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,7,7,0.88,18550.4,129852.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,8,8,0.86,18128.8,145030.4
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,9,9,0.84,17707.2,159364.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,10,10,0.82,17285.6,172856
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,11,11,0.8,16864,185504
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,12,12,0.78,16442.4,197308.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,13,13,0.76,16020.8,208270.4
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,14,14,0.74,15599.2,218388.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,15,15,0.72,15177.6,227664
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,1,1,1,26350,26350
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,2,2,0.98,25823,51646
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,3,3,0.96,25296,75888
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,4,4,0.94,24769,99076
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,5,5,0.92,24242,121210
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,6,6,0.9,23715,142290
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,7,7,0.88,23188,162316
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,8,8,0.86,22661,181288
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,9,9,0.84,22134,199206
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,10,10,0.82,21607,216070
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,11,11,0.8,21080,231880
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,12,12,0.78,20553,246636
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,13,13,0.76,20026,260338
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,14,14,0.74,19499,272986
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,15,15,0.72,18972,284580
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,1,1,1,29512,29512
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,2,2,0.98,28921.76,57843.52
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,3,3,0.96,28331.52,84994.56
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,4,4,0.94,27741.28,110965.12
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,5,5,0.92,27151.04,135755.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,6,6,0.9,26560.8,159364.8
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,7,7,0.88,25970.56,181793.92
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,8,8,0.86,25380.32,203042.56
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,9,9,0.84,24790.08,223110.72
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,10,10,0.82,24199.84,241998.4
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,11,11,0.8,23609.6,259705.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,12,12,0.78,23019.36,276232.32
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,13,13,0.76,22429.12,291578.56
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,14,14,0.74,21838.88,305744.32
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,15,15,0.72,21248.64,318729.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,1,1,1,84320,84320
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,2,2,0.98,82633.6,165267.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,3,3,0.96,80947.2,242841.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,4,4,0.94,79260.8,317043.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,5,5,0.92,77574.4,387872
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,6,6,0.9,75888,455328
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,7,7,0.88,74201.6,519411.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,8,8,0.86,72515.2,580121.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,9,9,0.84,70828.8,637459.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,10,10,0.82,69142.4,691424
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,11,11,0.8,67456,742016
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,12,12,0.78,65769.6,789235.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,13,13,0.76,64083.2,833081.6
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,14,14,0.74,62396.8,873555.2
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,15,15,0.72,60710.4,910656
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,1,1,1,6300,6300
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,2,2,0.98,6174,12348
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,3,3,0.96,6048,18144
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,4,4,0.94,5922,23688
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,5,5,0.92,5796,28980
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,6,6,0.9,5670,34020
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,7,7,0.88,5544,38808
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,8,8,0.86,5418,43344
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,9,9,0.84,5292,47628
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,10,10,0.82,5166,51660
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,11,11,0.8,5040,55440
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,12,12,0.78,4914,58968
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,13,13,0.76,4788,62244
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,14,14,0.74,4662,65268
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,15,15,0.72,4536,68040
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,1,1,1,7000,7000
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,2,2,0.98,6860,13720
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,3,3,0.96,6720,20160
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,4,4,0.94,6580,26320
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,5,5,0.92,6440,32200
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,6,6,0.9,6300,37800
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,7,7,0.88,6160,43120
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,8,8,0.86,6020,48160
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,9,9,0.84,5880,52920
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,10,10,0.82,5740,57400
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,11,11,0.8,5600,61600
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,12,12,0.78,5460,65520
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,13,13,0.76,5320,69160
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,14,14,0.74,5180,72520
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,15,15,0.72,5040,75600
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,1,1,1,8750,8750
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,2,2,0.98,8575,17150
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,3,3,0.96,8400,25200
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,4,4,0.94,8225,32900
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,5,5,0.92,8050,40250
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,6,6,0.9,7875,47250
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,7,7,0.88,7700,53900
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,8,8,0.86,7525,60200
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,9,9,0.84,7350,66150
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,10,10,0.82,7175,71750
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,11,11,0.8,7000,77000
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,12,12,0.78,6825,81900
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,13,13,0.76,6650,86450
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,14,14,0.74,6475,90650
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,15,15,0.72,6300,94500
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,1,1,1,9800,9800
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,2,2,0.98,9604,19208
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,3,3,0.96,9408,28224
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,4,4,0.94,9212,36848
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,5,5,0.92,9016,45080
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,6,6,0.9,8820,52920
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,7,7,0.88,8624,60368
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,8,8,0.86,8428,67424
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,9,9,0.84,8232,74088
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,10,10,0.82,8036,80360
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,11,11,0.8,7840,86240
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,12,12,0.78,7644,91728
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,13,13,0.76,7448,96824
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,14,14,0.74,7252,101528
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,15,15,0.72,7056,105840
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,1,1,1,28000,28000
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,2,2,0.98,27440,54880
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,3,3,0.96,26880,80640
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,4,4,0.94,26320,105280
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,5,5,0.92,25760,128800
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,6,6,0.9,25200,151200
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,7,7,0.88,24640,172480
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,8,8,0.86,24080,192640
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,9,9,0.84,23520,211680
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,10,10,0.82,22960,229600
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,11,11,0.8,22400,246400
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,12,12,0.78,21840,262080
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,13,13,0.76,21280,276640
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,14,14,0.74,20720,290080
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,15,15,0.72,20160,302400
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,1,1,1,12294,12294
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,2,2,0.98,12048.12,24096.24
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,3,3,0.96,11802.24,35406.72
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,4,4,0.94,11556.36,46225.44
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,5,5,0.92,11310.48,56552.4
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,6,6,0.9,11064.6,66387.6
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,7,7,0.88,10818.72,75731.04
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,8,8,0.86,10572.84,84582.72
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,9,9,0.84,10326.96,92942.64
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,10,10,0.82,10081.08,100810.8
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,11,11,0.8,9835.2,108187.2
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,12,12,0.78,9589.32,115071.84
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,13,13,0.76,9343.44,121464.72
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,14,14,0.74,9097.56,127365.84
Madrina,LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,15,15,0.72,8851.68,132775.2
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,1,1,1,13660,13660
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,2,2,0.98,13386.8,26773.6
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,3,3,0.96,13113.6,39340.8
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,4,4,0.94,12840.4,51361.6
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,5,5,0.92,12567.2,62836
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,6,6,0.9,12294,73764
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,7,7,0.88,12020.8,84145.6
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,8,8,0.86,11747.6,93980.8
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,9,9,0.84,11474.4,103269.6
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,10,10,0.82,11201.2,112012
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,11,11,0.8,10928,120208
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,12,12,0.78,10654.8,127857.6
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,13,13,0.76,10381.6,134960.8
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,14,14,0.74,10108.4,141517.6
Madrina,LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,15,15,0.72,9835.2,147528
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,1,1,1,17075,17075
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,2,2,0.98,16733.5,33467
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,3,3,0.96,16392,49176
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,4,4,0.94,16050.5,64202
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,5,5,0.92,15709,78545
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,6,6,0.9,15367.5,92205
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,7,7,0.88,15026,105182
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,8,8,0.86,14684.5,117476
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,9,9,0.84,14343,129087
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,10,10,0.82,14001.5,140015
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,11,11,0.8,13660,150260
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,12,12,0.78,13318.5,159822
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,13,13,0.76,12977,168701
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,14,14,0.74,12635.5,176897
Madrina,LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,15,15,0.72,12294,184410
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,1,1,1,19124,19124
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,2,2,0.98,18741.52,37483.04
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,3,3,0.96,18359.04,55077.12
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,4,4,0.94,17976.56,71906.24
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,5,5,0.92,17594.08,87970.4
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,6,6,0.9,17211.6,103269.6
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,7,7,0.88,16829.12,117803.84
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,8,8,0.86,16446.64,131573.12
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,9,9,0.84,16064.16,144577.44
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,10,10,0.82,15681.68,156816.8
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,11,11,0.8,15299.2,168291.2
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,12,12,0.78,14916.72,179000.64
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,13,13,0.76,14534.24,188945.12
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,14,14,0.74,14151.76,198124.64
Madrina,LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,15,15,0.72,13769.28,206539.2
Madrina,LAGOS DE MORENO,MONTERREY,683,LOWBOY,80,0,1,1,1,54640,54640
Madrina,LAGOS DE MORENO,MONTERREY,683,LOWBOY,80,0,2,2,0.98,53547.2,107094.4
Madrina,LAGOS DE MORENO,MONTERREY,683,LOWBOY,80,0,3,3,0.96,52454.4,157363.2
